proj_uid,PovertyChange2000,ChangeLFP00,Manuf1970Change,FamilyIncome2000Change,PopulationChange2000,logTotalPopulation,AvGini20112014,PrePostRecessionChange,UV_place,city,state,fips,displayname,citylongitude,citylatitude,TotalPopulation,Unemployment16up,LaborForce16up,Manuf,MedianFamilyIncome,MedianHouseholdIncome,ForeignBorn,FamilieswithChildren,percentPop2064,Poverty,White,BachPlus25up,HousingPre1980,VacancyRate,HomeAffordability,OwnerOccupied,High30GrossRent,MedianMonthlyHousingCosts,BWDI,HWDI,CBSA_POP_2022_5yr,SA_Part_Est2022,logSA_Part,geo_flag
abilene_TX,-.070527874,-.75097907,-45.284443,6.9318905,8.9933586,11.746859,.3347137715835994,.0264389164863756,4801000,Abilene,Texas,4801000,"Abilene, Texas",-99.756022,32.435668,126356,2.7709382,62.347054,6.5915251,75460,59254,7.5113168,49.679314,59.39172,10.790803,56.930416,26.404022,58.041973,11.621835,2.7306173,54.019119,49.240044,1053,33.860592,32.908791,176656,71.526581,-.33510104,Place
akron_OH,3.4713328,-.90843588,-63.738472,-13.106653,-12.34648,12.156215,.3142370938848928,.0186200786796507,3901000,Akron,Ohio,3901000,"Akron, Ohio",-81.518475,41.076691,190273,7.6863751,63.204796,13.958229,60328,46596,6.1932063,49.306561,60.490452,17.509111,56.06786,22.598761,83.491928,9.9554796,2.1396687,50.044678,49.958874,864,51.623718,34.583515,700578,27.159431,-1.3034458,Place
alameda_CA,-.90735221,.091527827,-40.115906,34.826069,7.34303,11.258872,.341648551479814,.0314106237069984,0600562,Alameda,California,600562,"Alameda, California",-122.257226,37.762896,77565,5.0629616,68.245636,9.294672,163118,129917,24.682526,49.223503,60.53117,5.0839453,41.287952,59.834576,74.376503,6.9201241,8.8333321,48.326626,44.369553,2478,43.144871,17.892624,4692242,1.6530477,-4.1025496,Place
albany_GA,2.8326583,-2.5285172,-46.621181,-21.172287,-10.414744,11.140789,.3319587756651848,.0014000160745473,1301052,Albany,Georgia,1301052,"Albany, Georgia",-84.19617700000001,31.583632,68926,10.312773,55.728317,10.12161,47032,43724,1.7511533,51.978828,56.296612,24.365679,19.018948,22.113966,61.224918,17.014076,2.5432258,40.217979,52.832718,866,43.0672,54.774288,147716,46.66116,-.76225805,Place
albany_NY,-1.448385,.38689965,-56.954086,11.991587,4.2171068,11.509841,.3215507577070708,.0239272560307087,3601000,Albany,New York,3601000,"Albany, New York",-73.78452799999999,42.660801,99692,8.020299,64.027306,4.5218039,78841,54736,14.76648,48.019691,65.382378,14.509349,50.624924,42.961151,81.454208,13.78181,3.8987138,36.746864,51.588829,1175,48.521553,42.295124,901729,11.05565,-2.2022285,Place
albany_OR,-1.7993469,-4.1233158,-65.855667,3.1053963,37.932049,10.939302,.3156437859972912,.0048809905852191,4101000,Albany,Oregon,4101000,"Albany, Oregon",-123.087104,44.621282,56348,6.6572084,63.022961,9.9731083,83786,69777,5.7535315,47.250919,57.235397,7.4777832,78.089729,28.370577,50.749207,3.9048173,4.6089687,60.184322,51.759956,1311,40.523937,27.391653,128598,43.817165,-.82514453,Place
albuquerque_NM,1.9134479,-1.9470652,-37.261356,-4.7048798,25.399515,13.240237,.3289365631110208,-.0033617686818634,3502000,Albuquerque,New Mexico,3502000,"Albuquerque, New Mexico",-106.61632,35.112918,562551,5.4581971,64.205345,4.3912377,78926,61503,10.216318,47.28788,59.733963,11.873642,37.011398,37.831383,48.074284,6.0263815,3.999805,60.696411,51.680435,1096,41.207272,35.537849,915968,61.416012,-.48749959,Place
alexandria_LA,-2.5401416,4.1073227,-59.624229,5.2959247,-2.6088645,10.717369,.3426316712961014,.0162375791910862,2200975,Alexandria,Louisiana,2200975,"Alexandria, Louisiana",-92.481264,31.272872,45133,7.4641981,57.329483,4.3301549,59362,49049,3.8951542,51.568211,58.885963,20.617664,36.450047,25.190023,65.583603,17.954502,3.6677608,53.863705,56.404869,918,53.38546,30.676331,151721,29.747364,-1.2124296,Place
alexandria_VA,.098109595,3.6170073,-55.575199,26.545641,22.848701,11.967777,.3153579519696389,.0000290960392547,5101000,Alexandria,Virginia,5101000,"Alexandria, Virginia",-77.092561,38.820053,157594,3.2156508,78.043289,2.5731893,149526,113179,24.458418,44.90015,68.203102,6.9215388,51.118065,66.000381,60.715485,6.7723327,5.7934775,42.680904,44.266609,2117,42.604458,42.85434,6346083,2.4833272,-3.6955709,Place
alhambra_CA,-2.2562916,4.4839563,-57.319866,13.064353,-4.0895529,11.318066,.3577848251767737,.0190149003335482,0600884,Alhambra,California,600884,"Alhambra, California",-118.134969,34.085364,82295,5.5011668,62.880737,8.578414,86200,80234,46.233673,40.535156,62.391396,9.2220278,8.9130564,38.387974,71.491852,6.239471,9.5470753,41.006191,53.72842,1796,40.009888,19.098976,13111917,.62763512,-5.0709662,Place
aliquippa_PA,-1.056933,3.5515015,-75.867271,9.7881298,-21.61241,9.1267414,.2994783534615609,-.0007648511355339,4200820,Aliquippa,Pennsylvania,4200820,"Aliquippa, Pennsylvania",-80.263837,40.614046,9198,8.3639708,55.158432,12.913741,65814,42601,4.7075453,31.800264,59.284626,16.688568,56.26223,19.224089,92.908302,20.436682,2.1126266,59.077938,50.966187,760,52.648632,57.103634,2365501,.38883939,-5.5497589,Place
allenpark_MI,3.6002185,4.0106163,-57.436161,-13.04242,-3.3394608,10.253968,.3024444628327956,.0140590311069961,2601380,Allen Park,Michigan,2601380,"Allen Park, Michigan",-83.212368,42.251888,28395,5.9971733,63.296692,16.905342,97118,73792,4.5923581,41.278454,60.950871,5.5055585,78.397606,28.022772,95.721413,4.6646295,2.2441456,86.207184,43.866173,1057,25.971733,26.907032,4375604,.64893895,-5.0375867,Place
allen_TX,2.122411,-7.8364944,,-4.9010777,142.09946,11.565935,.3291435386576518,.0043875137117637,4801924,Allen,Texas,4801924,"Allen, Texas",-96.66465599999999,33.102932,105444,4.290452,70.479385,9.0585794,138731,121259,20.642237,54.717117,60.378967,4.1382084,51.298321,55.239803,8.4043884,4.6570358,3.2179055,70.889465,46.152287,1983,30.42601,23.426546,7673379,1.3741534,-4.2873325,Place
allentown_PA,2.7629852,4.3001451,-66.783669,-13.31603,17.499437,11.738402,.2961770178265266,-.0150742085544886,4202000,Allentown,Pennsylvania,4202000,"Allentown, Pennsylvania",-75.47502900000001,40.600393,125292,9.2101297,64.346771,12.916353,57088,52449,20.47537,54.253613,59.011753,17.335472,29.917313,18.29476,85.366997,7.3297253,3.2183645,42.313351,57.237541,1189,36.297279,37.673866,863166,14.5154,-1.92996,Place
alliance_OH,4.4477983,.54608059,-54.105038,-4.7914529,-7.0958586,9.980587,.3108050032324035,.0117756758638414,3901420,Alliance,Ohio,3901420,"Alliance, Ohio",-81.11165800000001,40.911323,21603,3.9953899,59.752464,20.868347,62123,51721,.94894224,44.54047,56.6912,17.116358,85.099289,17.971916,80.856857,9.7568951,2.0881267,47.982605,40.666836,725,46.218098,25.069487,400960,5.3878193,-2.9210296,Place
alpharetta_GA,.52086687,-5.3774605,,8.1033421,89.028519,11.095651,.3335059054659666,.0099682816465039,1301696,Alpharetta,Georgia,1301696,"Alpharetta, Georgia",-84.26998500000001,34.068434,65884,4.7805901,71.097008,7.6005569,176705,141402,27.859571,50.748837,61.565781,3.4557354,54.635418,71.758598,8.7906418,4.4686756,3.9744842,67.239449,44.105446,1936,39.48605,38.007008,6094752,1.0809956,-4.5272875,Place
