Item Code,Description
A01,Charges - Air Transportation
A03,Charges - Miscellaneous Commercial Activities
A09,Charges - Elementary & Secondary Education School Lunch
A10,Charges - Elementary & Secondary Education School Tuition
A12,"Charges - Elementary & Secondary Education, Other"
A16,Charges - Higher Education Auxiliary Enterprises
A18,"Charges - Higher Education, Other"
A21,"Charges - Education - Other, NEC"
A36,Charges - Public Hospital
A44,Charges - Regular Highways
A45,Charges - Toll Highways
A50,Charges - Housing & Community Development
A54,"Charges - Natural Resources, Agriculture (Not used in 2005-2006)"
A56,"Charges - Natural Resources, Forestry"
A59,"Charges - Natural Resources, Other"
A60,Charges - Parking Facilities (NEW for 2005)
A61,Charges - Parks & Recreation
A80,Charges - Sewerage
A81,Charges - Solid Waste Management
A87,Charges - Sea and Inland Port Facilities
A89,Charges - All Other
A90,Revenue - Liquor Stores
A91,Revenue - Water Utilities
A92,Revenue - Electric Utilities
A93,Revenue - Gas Utilities
A94,Revenue - Transit Utilities
B01,Intergovernmental Revenue from Federal - Air Transportation
B21,Intergovernmental Revenue from Federal - Education
B22,Intergovernmental Revenue from Federal- Employment Security Administration
B30,Intergovernmental Revenue from Federal - General Support
B42,Intergovernmental Revenue from Federal - Health & Hospitals
B43,Intergovernmental Revenue from Federal - Environmental Health (NEW for 2007)
B46,Intergovernmental Revenue from Federal - Highways
B50,Intergovernmental Revenue from Federal - Housing & Community Development
B54,"Intergovernmental Revenue from Federal - Natural Resources, Agriculture (Not used in 2005-2006)"
B59,Intergovernmental Revenue from Federal - Other Natural Resources
B79,Intergovernmental Revenue from Federal - Public Welfare
B80,Intergovernmental Revenue from Federal - Sewerage
B89,Intergovernmental Revenue from Federal - All Other
B91,"DISCONTINUED as of 2022, see B89 (Formerly: Intergovernmental Revenue from Federal - Water Utilities)"
B92,"DISCONTINUED as of 2022, see B89 (Formerly: Intergovernmental Revenue from Federal - Electric Utilities)"
B93,"DISCONTINUED as of 2022, see B89 (Formerly: Intergovernmental Revenue from Federal - Gas Utilities)"
B94,"DISCONTINUED as of 2022, see B89 (Formerly: Intergovernmental Revenue from Federal - Transit Utilities)"
D21,Intergovernmental Revenue from Local - Education
D30,Intergovernmental Revenue from Local - General Support
D42,Intergovernmental Revenue from Local - Health & Hospitals
D46,Intergovernmental Revenue from Local - Highways
D50,Intergovernmental Revenue from Local - Housing and Community Development (NEW in 2007)
D79,Intergovernmental Revenue from Local - Public Welfare
D80,Intergovernmental Revenue from Local - Sewerage
D89,Intergovernmental Revenue from Local - All Other
D91,"DISCONTINUED as of 2022, see D89 (Formerly: Intergovernmental Revenue from Local - Water Utilities)"
D92,"DISCONTINUED as of 2022, see D89 (Formerly: Intergovernmental Revenue from Local - Electric Utilities)"
D93,"DISCONTINUED as of 2022, see D89 (Formerly: Intergovernmental Revenue from Local - Gas Utilities)"
D94,"DISCONTINUED as of 2022, see D89 (Formerly: Intergovernmental Revenue from Local - Transit Utilities)"
E01,Current Operations - Air Transportation
E03,"Current Operations - Miscellaneous Commercial Activities, NEC"
E04,Current Operations - Correctional Institutions
E05,"Current Operations - Corrections, Other"
E12,Current Operations - Elementary & Secondary Education
E16,Current Operations - Higher Education Auxiliary Enterprises
E18,Current Operations - Other Higher Education
E19,"DISCONTINUED as of 2005, see J19 (Formerly: Current Operations - Educational Scholarships, Assistance, & Subsidies)"
E21,Current Operations - Other Education
E22,Current Operations - Social Insurance Administration
E23,Current Operations - Financial Administration
E25,Current Operations - Judicial and Legal Services
E26,Current Operations - Legislative Services
E27,Current Operations - Environmental Health (NEW for 2007)
E29,Current Operations - Central Staff Services
E31,Current Operations - General Public Buildings
E32,"Current Operations - Health Services, Other"
E36,Current Operations - Own Hospitals
E38,DISCONTINUED as of 2005 (Formerly: Current Operations - Other Hospitals)
E44,Current Operations - Regular Highways
E45,Current Operations - Toll Highways
E47,DISCONTINUED as of 2005 (Formerly: Current Operations - Private Transit Subsidies)
E50,Current Operations - Housing & Community Development
E52,Current Operations - Libraries
E54,"Current Operations - Natural Resources, Agriculture, Other (Not used in 2005-2006)"
E55,"Current Operations - Natural Resources, Fish & Game"
E56,"Current Operations - Natural Resources, Forestry"
E59,"Current Operations - Natural Resources, Other"
E60,Current Operations - Parking Facilities (NEW for 2005)
E61,Current Operations - Parks & Recreation
E62,Current Operations - Police Protection
E66,"Current Operations - Protective Inspection and Regulation, NEC"
E67,"DISCONTINUED as of 2005; see J67 (Formerly: Current Operations - Welfare, Federal Categorical Assistance Programs)"
E68,"DISCONTINUED as of 2005; see J68 (Formerly: Current Operations - Welfare, Cash Assistance, Other)"
E73,"DISCONTINUED as of 2012; Current Operations - Welfare, Payments to Medicare Trust Fund (previously S74)"
E74,"DISCONTINUED as of 2022, see E79 (Formerly: Current Operations - Welfare, Vendor Payments for Medical Care)"
E75,"DISCONTINUED as of 2022, see E79 (Formerly: Current Operations - Welfare, Vendor Payments for Other Purposes)"
E77,Current Operations - Welfare Institutions
E79,"Current Operations - Welfare, Other"
E80,Current Operations - Sewerage
E81,Current Operations - Solid Waste Management
E84,DISCONTINUED as of 2005 (Formerly: Current Operations - Veterans` Bonuses) - See J85
E85,Current Operations - Other Veterans Services
E87,Current Operations - Sea and Inland Port Facilities
E89,"Current Operations - General, Other"
