City,C1,C2,C3,highlight,cluster
"West Allis city, Wisconsin",-12112007.625878021,-1616114.7423403708,687163.655726689,normal,1
"Sun Prairie city, Wisconsin",-12116516.124417348,-1616866.4963816705,687170.7128930866,normal,1
"Fitchburg city, Wisconsin",-12116514.732845062,-1616825.467926675,687162.8920848732,normal,1
"Stevens Point city, Wisconsin",-12115769.991194736,-1612945.8595350299,680880.9017229403,normal,1
"Milwaukee city, Wisconsin",-12116188.74426606,-1615688.0357865545,685865.5633759135,normal,1
"Biloxi city, Mississippi",-12115121.199001323,-1613707.4960254787,687047.6516629183,normal,1
"Madison city, Mississippi",-12112477.641712308,-1607471.9694598103,687209.7429417755,normal,1
"Tupelo city, Mississippi",-12111982.05310639,-1604434.9783199783,652460.4741898606,normal,1
"Belton city, Missouri",-12115887.738786573,-1616563.4254030064,687191.3433213893,normal,1
"Hobbs city, New Mexico",-12115600.024184257,-1615246.7007264073,677553.273386364,normal,1
"Santa Fe city, New Mexico",-12117437.318330823,-1664542.6637848138,-32563746.334615532,normal,1
"South Valley CDP, New Mexico",-12113877.909061776,-1612027.7744477396,687041.6197025264,normal,1
"Albany city, New York",-12116487.44558406,-1612276.2871464498,687151.4996252852,normal,1
"New York city, New York",-11411102.935099969,39084106.486921385,634886.3355343568,normal,1
"Jamestown city, New York",-12102264.464500485,-1617087.7912523032,687043.0676515969,normal,1
"Middletown city, New York",-12113987.616724622,-1615029.3482876369,687189.447646136,normal,1
"Brighton CDP, New York",-12116385.11138438,-1616728.2601889365,687181.5565802848,normal,1
"Rochester city, New York",-12116496.357847985,-1612088.4921337876,687084.9635876779,normal,1
"Apex town, North Carolina",-12116508.62305165,-1616764.3950085398,686863.661100267,normal,1
"Goldsboro city, North Carolina",-12115681.399801327,-1615760.164266195,672040.012022172,normal,1
"Greenville city, North Carolina",-12116406.025129296,-1616951.2085160986,686890.701861179,normal,1
"Kent city, Ohio",-12116475.50158746,-1616831.0004161086,687162.2453924816,normal,1
"Fairfield city, Ohio",-12116173.606718963,-1616401.2067648647,687183.0455940355,normal,1
"Alliance city, Ohio",-12088858.77541006,-1616468.8890337702,687200.0333135822,normal,1
"Cincinnati city, Ohio",-12116515.46614114,-1616776.7104296766,687131.0048577971,normal,1
"Westerville city, Ohio",-12116493.805272354,-1616864.9347131576,687185.105533727,normal,1
"Mason city, Ohio",-12114960.82151571,-1615670.3844247803,687214.2566527197,normal,1
"Kyle city, Texas",-12116519.421358947,-1611256.390566787,687198.5052454754,normal,1
"Longview city, Texas",-12115239.82598507,-1616483.6983776705,685281.8220132458,normal,1
