City,C1,C2,C3,highlight,cluster
"West Allis city, Wisconsin",-5.7809340904480315,9.436571349217973,2.3089614697074103,normal,5
"Sun Prairie city, Wisconsin",-13.371731940547178,-2.8623361834885523,2.1610803250009276,normal,4
"Fitchburg city, Wisconsin",-6.416714543372836,4.038838098827513,5.367971378804742,normal,5
"Stevens Point city, Wisconsin",3.7351870059066723,16.47525904644219,-3.0911759149591713,normal,1
"Milwaukee city, Wisconsin",5.725462199084017,13.159753700376076,-1.1269758507044774,normal,1
"Biloxi city, Mississippi",-5.431621617351379,13.69622549238341,6.892792781424075,normal,5
"Madison city, Mississippi",-1.9632445016154352,-7.809410709387411,-8.297881947140949,normal,4
"Tupelo city, Mississippi",3.192540175535767,4.0814521120773595,-2.4813259943383854,normal,3
"Belton city, Missouri",-15.880428560768923,-0.3972634604738502,-8.458015815087883,normal,4
"Hobbs city, New Mexico",6.864912642937541,4.59236586113821,-6.909264377235764,normal,3
"Santa Fe city, New Mexico",6.565354215994783,-0.7951494828025822,-3.3280380241405547,normal,3
"South Valley CDP, New Mexico",-15.766716936999055,0.335721604716169,-2.5525876501181055,normal,4
"Albany city, New York",1.8460154529004973,11.061900247535942,6.950306816050015,normal,1
"New York city, New York",6.5673921169279375,-0.795471526343875,-3.3296255555877234,normal,3
"Jamestown city, New York",1.7072763544815128,9.637081477916492,-0.23904524282000994,normal,1
"Middletown city, New York",5.335708631474152,-0.3871136137346177,-1.339332202261908,normal,3
"Brighton CDP, New York",-19.338799025082697,3.229691778209642,3.124469333418453,normal,5
"Rochester city, New York",4.393243908396485,9.144187604350133,2.4882959793065833,normal,1
"Apex town, North Carolina",0.6298581417556068,-7.295126188763609,-7.023198428362763,normal,3
"Goldsboro city, North Carolina",2.811392753885289,14.205225309948315,1.6028050522753716,normal,1
"Greenville city, North Carolina",7.593469616089704,5.572480339275947,-3.7994496185355624,normal,3
"Kent city, Ohio",4.882307768735367,3.002428242219316,6.994796656072313,normal,2
"Fairfield city, Ohio",-21.723008506826815,-0.34327248090548346,-7.264666893174069,normal,4
"Alliance city, Ohio",-2.777084769102541,8.632911982074349,-2.015823008212701,normal,1
"Cincinnati city, Ohio",-2.967940282925179,15.983189674231282,10.81192377543818,normal,5
"Westerville city, Ohio",-7.08994249776873,-10.55837472385504,-7.344360350304525,normal,4
"Mason city, Ohio",2.8515137692706767,-2.3830985450361366,-6.700524815504515,normal,3
"Kyle city, Texas",5.873624726416016,-1.4260432950502988,-3.67484848044318,normal,3
"Longview city, Texas",5.68931003174318,4.436122738223678,-3.841989171177569,normal,3
"Galveston city, Texas",-3.3567176439144375,4.841143079453225,18.202620860145142,normal,2
"Beaumont city, Texas",-7.498941144341244,26.231004768164823,-1.733020936170528,normal,1
"Waco city, Texas",7.833503297349383,10.657597726527847,-3.015123440841215,normal,1
"Everett city, Washington",6.932846764909272,-5.248481256203599,14.626918541507465,normal,2
"Bellingham city, Washington",8.00326076386561,-0.8282453469202224,-0.6226373781690959,normal,3
"South Hill CDP, Washington",-9.447489764716234,-13.795667980913302,7.495496444626689,normal,2
"Lehi city, Utah",3.0748963301180856,-4.691032725624194,-4.432811630769919,normal,3
"Orem city, Utah",-0.05319836748339747,-1.1308164920125394,4.206849779737378,normal,2
"Provo city, Utah",6.633151768542113,0.8973580770590658,1.7428034367719305,normal,3
"Springville city, Utah",-12.37948037789143,-10.880037283328377,-0.0347987212673906,normal,4
"St. George city, Utah",6.634897642996302,-0.6819174659478539,-3.1389698215781916,normal,3
"Clearfield city, Utah",-6.337245033702134,-0.7957012898687755,11.78867959525721,normal,2
"Sioux Falls city, South Dakota",9.74361158823647,8.318095104925964,-9.351936567670904,normal,1
"Tigard city, Oregon",2.7933428794703103,-11.534429457867585,16.513227080048402,normal,2
"Tualatin city, Oregon",2.653217961225067,-8.768322394629454,14.17276615989318,normal,2
"Salem city, Oregon",5.355953503584013,8.337545292315456,6.070093400165507,normal,1
"McMinnville city, Oregon",-1.3026202638424793,-7.548746677378637,16.73716774999166,normal,2
"Warwick city, Rhode Island",-20.428820427780316,-8.512020212587261,2.8220779505400944,normal,4
"Providence city, Rhode Island",6.664767508643379,0.44843064977838654,-0.942707761131734,normal,3
"Woonsocket city, Rhode Island",1.4333160955760227,6.749008201606382,5.561487618241893,normal,1
"Pawtucket city, Rhode Island",3.6991032776085055,2.918916263683433,3.101684832658985,normal,3
"Gallatin city, Tennessee",-7.833680774840909,-6.729381919031639,3.323845618354865,normal,4
"Knoxville city, Tennessee",-6.228577812627989,21.38592851125113,11.245551054103014,normal,5
"Kingsport city, Tennessee",-19.22287121750726,11.732339494246732,0.8788576839011721,normal,5
"Aliquippa city, Pennsylvania",-5.124751793606334,4.513666336344957,0.9598032996904937,normal,5
"Erie city, Pennsylvania",2.46604257846516,16.076581953646627,-1.0886816758124807,normal,1
"Summerville town, South Carolina",-9.795511815402628,-3.333611881840922,7.729089451804392,normal,5
"Springfield city, Oregon",-6.0890166649498125,10.65159356425101,18.424640793906203,normal,5
"Corvallis city, Oregon",7.994497237684293,1.5992008754413893,-1.145496971465704,normal,3
"West Bend city, Wisconsin",-15.334408899412631,-6.225760927618646,-1.5038956837927853,normal,4
"Guaynabo zona urbana, Puerto Rico",1.3869261965660284,-1.8695291812291364,-6.964496407215057,normal,3
"Butte-Silver Bow (balance), Montana",5.750794132161498,2.709151780507067,-4.331450196864197,normal,3
"Omaha city, Nebraska",6.703342903524261,7.236444731050532,-5.690162875095837,normal,1
"Bellevue city, Nebraska",-15.189920926577749,4.090409350896817,-5.381908600402877,normal,4
"Watertown city, New York",-1.3786074312944498,16.48946395191926,1.7754724302768308,normal,1
"Valley Stream village, New York",5.664472065027786,-3.1454834933057834,-2.2099844924019054,normal,3
"Syracuse city, New York",2.6781163345544163,11.093803666215088,4.489610268094874,normal,1
"Schenectady city, New York",0.9133687930909649,5.631521507984873,1.1016042669127235,normal,1
"Raleigh city, North Carolina",2.888733872290816,10.461029268180217,2.9430880692899444,normal,1
"Concord city, North Carolina",-18.780356685747446,-8.474473767844403,2.2814647502063865,normal,4
"Salisbury city, North Carolina",-12.373930611020889,6.414194565261636,9.457248424867455,normal,5
"Cleveland city, Ohio",1.822711613213368,12.098494140121344,0.8561411144873226,normal,1
"Xenia city, Ohio",-19.00882921753916,13.178607313124958,2.597741329856129,normal,5
"Mansfield city, Ohio",1.2748756568281692,20.554850159176436,-6.323885997334934,normal,1
"Grove City city, Ohio",-23.047929591891165,-9.369222341443496,-12.265675936968433,normal,4
"Hilliard city, Ohio",-4.169252080143196,-3.2357516918367324,-8.959414196850023,normal,4
