City,pca,kpca_rbf,kpca_poly,umap,Aggregated
"Somerville city, Massachusetts",-3.3621113693529603,-1.315641667630893,-0.48684373909416034,-1.437424521587772,-1.6505053244164465
"Cambridge city, Massachusetts",-2.8429582714383823,-1.314520866365229,-0.4603629766984539,-1.335093728678649,-1.4882339607951787
"Jersey City city, New Jersey",-2.14794620509606,-1.2974196920828853,-0.4591757360152806,-1.3325910601954765,-1.3092831733474255
"San Francisco city, California",-1.8885952950498186,-1.2985641286907985,-0.32824871814133555,-1.4122907231007873,-1.231924716245685
"New York city, New York",-1.8866835032271279,-1.2947521227896115,-0.08523476616301837,-1.3495080281888823,-1.15404460509216
"Washington city, District of Columbia",-1.9715674590621628,-1.226876464447716,-0.10754427651168935,-1.2805523719205474,-1.1466351429855288
"Boston city, Massachusetts",-1.9534543467708643,-1.2243293873330159,-0.12275703594695948,-1.1986980442262969,-1.1248097035692841
"Cliffside Park borough, New Jersey",-1.675554975346343,-1.2951553764237824,-0.46902243308442854,-0.9582626784191619,-1.099498865818429
"Chelsea city, Massachusetts",-1.6565009928926122,-1.2902152876802868,-0.14068172132909332,-1.1960078449932325,-1.0708514617238063
"Seattle city, Washington",-1.7104758214280522,-1.2557900998450557,-0.084415718319914,-1.186517047380651,-1.0592996717434182
"Miami city, Florida",-1.4361236921180642,-1.281594789056786,-0.12079553499767395,-1.0984853647227903,-0.9842498452238286
"Alexandria city, Virginia",-1.6123365484511174,-1.0509957610519387,-0.07225798012679806,-1.1137169583589603,-0.9623268119972036
"Arlington County, Virginia",-1.5015851076400646,-1.094664257058959,-0.0615793116480125,-0.8507560832100265,-0.8771461898892656
"Arlington CDP, Virginia",-1.5015851076400646,-1.094664257058959,-0.0615793116480125,-0.8193173243293239,-0.86928650016909
"Watertown Town city, Massachusetts",-1.1509863210790667,-1.1451087660852182,-0.05586208605095521,-0.7072622601222881,-0.764804858334382
"Malden city, Massachusetts",-1.3979053414904974,-1.1133058046177673,-0.06377906987451958,-0.46737555503565514,-0.7605914427546099
"Silver Spring CDP, Maryland",-1.25844998414022,-0.8526413386469434,-0.05791830575463963,-0.8089635681095926,-0.7444932991628489
"Everett city, Massachusetts",-1.3087874448258592,-0.9869482349467462,-0.06529724280239725,-0.6023304381352054,-0.740840840177552
"Clovis city, New Mexico",NA,-1.3136930658514256,-0.041398376607061076,NA,-0.6775457212292434
"Uniondale CDP, New York",NA,-1.2936399776354464,-0.05673934753331699,NA,-0.6751896625843816
"New Castle city, Pennsylvania",NA,-1.3027140826673191,-0.0412859604045709,NA,-0.6720000215359451
"Marshall city, Texas",NA,-1.3016084904888625,-0.041120213591881095,NA,-0.6713643520403718
"Salisbury city, Maryland",NA,-1.3009910294202145,-0.041488143864787705,NA,-0.671239586642501
"Gillette city, Wyoming",NA,-1.300609418870548,-0.04046970627276626,NA,-0.6705395625716571
"Oswego village, Illinois",NA,-1.2974403016519285,-0.04156786623077814,NA,-0.6695040839413533
"The Acreage CDP, Florida",NA,-1.2966543330520834,-0.04166361586671862,NA,-0.669158974459401
"Ottumwa city, Iowa",NA,-1.2961182899717985,-0.04162865028656159,NA,-0.66887347012918
"Hastings city, Nebraska",NA,-1.295764076282767,-0.0415598847267434,NA,-0.6686619805047551
"East Cleveland city, Ohio",NA,-1.2931649262060199,-0.04172383992938207,NA,-0.6674443830677009
"New Iberia city, Louisiana",NA,-1.2939770695782538,-0.04046538406977283,NA,-0.6672212268240133
"Madera city, California",NA,-1.29408339480608,-0.04021399278626521,NA,-0.6671486937961726
"Columbus city, Nebraska",NA,-1.2906233558669824,-0.04152506886909093,NA,-0.6660742123680367
"Paradise town, California",NA,-1.286224811131469,-0.043380926240508405,NA,-0.6648028686859887
"Dix Hills CDP, New York",NA,-1.2878230519316427,-0.041628868283188555,NA,-0.6647259601074156
"Junction City city, Kansas",NA,-1.2939309166083632,-0.035438854530607994,NA,-0.6646848855694856
"Kenosha city, Wisconsin",NA,-1.293929020159599,-0.03224815686091656,NA,-0.6630885885102578
"Carbondale city, Illinois",NA,-1.284332297610515,-0.041560536244120726,NA,-0.6629464169273178
"South Riding CDP, Virginia",NA,-1.2823122480159357,-0.04170634812062056,NA,-0.6620092980682781
